year,Christianne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,6
1949,0
1950,8
1951,6
1952,11
1953,20
1954,27
1955,25
1956,17
1957,23
1958,13
1959,15
1960,17
1961,15
1962,11
1963,18
1964,12
1965,24
1966,33
1967,32
1968,33
1969,42
1970,35
1971,44
1972,30
1973,33
1974,39
1975,25
1976,28
1977,37
1978,25
1979,38
1980,37
1981,32
1982,35
1983,33
1984,25
1985,37
1986,33
1987,28
1988,26
1989,34
1990,31
1991,27
1992,33
1993,24
1994,19
1995,24
1996,20
1997,22
1998,15
1999,20
2000,14
2001,12
2002,13
2003,11
2004,7
2005,10
2006,10
2007,9
2008,8
2009,8
2010,5
2011,7
2012,0
