year,Clement (F),Clement (M)
1880,0.000000,0.000079
1881,0.000000,0.000114
1882,0.000000,0.000104
1883,0.000000,0.000143
1884,0.000000,0.000090
1885,0.000000,0.000037
1886,0.000000,0.000102
1887,0.000000,0.000137
1888,0.000000,0.000107
1889,0.000000,0.000093
1890,0.000000,0.000090
1891,0.000000,0.000122
1892,0.000000,0.000090
1893,0.000000,0.000086
1894,0.000000,0.000100
1895,0.000000,0.000080
1896,0.000000,0.000090
1897,0.000000,0.000118
1898,0.000000,0.000079
1899,0.000000,0.000094
1900,0.000000,0.000107
1901,0.000000,0.000081
1902,0.000000,0.000109
1903,0.000000,0.000097
1904,0.000000,0.000107
1905,0.000000,0.000090
1906,0.000000,0.000105
1907,0.000000,0.000120
1908,0.000000,0.000084
1909,0.000000,0.000125
1910,0.000000,0.000085
1911,0.000000,0.000140
1912,0.000000,0.000174
1913,0.000000,0.000170
1914,0.000000,0.000164
1915,0.000000,0.000175
1916,0.000000,0.000172
1917,0.000000,0.000151
1918,0.000000,0.000158
1919,0.000000,0.000139
1920,0.000000,0.000136
1921,0.000000,0.000129
1922,0.000000,0.000138
1923,0.000000,0.000136
1924,0.000000,0.000121
1925,0.000000,0.000125
1926,0.000000,0.000121
1927,0.000000,0.000112
1928,0.000000,0.000114
1929,0.000000,0.000105
1930,0.000000,0.000103
1931,0.000000,0.000109
1932,0.000000,0.000087
1933,0.000000,0.000090
1934,0.000000,0.000087
1935,0.000000,0.000083
1936,0.000003,0.000078
1937,0.000000,0.000088
1938,0.000000,0.000071
1939,0.000000,0.000073
1940,0.000000,0.000070
1941,0.000000,0.000077
1942,0.000000,0.000070
1943,0.000000,0.000060
1944,0.000000,0.000058
1945,0.000000,0.000051
1946,0.000000,0.000047
1947,0.000000,0.000042
1948,0.000000,0.000040
1949,0.000000,0.000035
1950,0.000000,0.000036
1951,0.000000,0.000038
1952,0.000000,0.000032
1953,0.000000,0.000031
1954,0.000000,0.000034
1955,0.000000,0.000035
1956,0.000000,0.000032
1957,0.000000,0.000031
1958,0.000000,0.000026
1959,0.000000,0.000031
1960,0.000000,0.000022
1961,0.000000,0.000027
1962,0.000000,0.000021
1963,0.000000,0.000022
1964,0.000000,0.000020
1965,0.000000,0.000023
1966,0.000000,0.000018
1967,0.000000,0.000021
1968,0.000000,0.000017
1969,0.000000,0.000018
1970,0.000000,0.000018
1971,0.000000,0.000015
1972,0.000000,0.000017
1973,0.000000,0.000017
1974,0.000000,0.000015
1975,0.000000,0.000014
1976,0.000000,0.000013
1977,0.000000,0.000015
1978,0.000000,0.000013
1979,0.000000,0.000018
1980,0.000000,0.000015
1981,0.000000,0.000013
1982,0.000000,0.000013
1983,0.000000,0.000015
1984,0.000000,0.000012
1985,0.000000,0.000013
1986,0.000000,0.000011
1987,0.000000,0.000009
1988,0.000000,0.000011
1989,0.000000,0.000012
1990,0.000000,0.000009
1991,0.000000,0.000012
1992,0.000000,0.000011
1993,0.000000,0.000012
1994,0.000000,0.000011
1995,0.000000,0.000009
1996,0.000000,0.000009
1997,0.000000,0.000012
1998,0.000000,0.000009
1999,0.000000,0.000010
2000,0.000000,0.000007
2001,0.000000,0.000011
2002,0.000000,0.000012
2003,0.000000,0.000009
2004,0.000000,0.000009
2005,0.000000,0.000014
2006,0.000000,0.000009
2007,0.000000,0.000011
2008,0.000000,0.000011
2009,0.000000,0.000007
2010,0.000000,0.000011
2011,0.000000,0.000009
2012,0.000000,0.000011
