year,Claudie (F),Claudie (M)
1880,0.000060,0.000000
1881,0.000036,0.000000
1882,0.000050,0.000023
1883,0.000041,0.000000
1884,0.000066,0.000000
1885,0.000050,0.000000
1886,0.000086,0.000000
1887,0.000057,0.000000
1888,0.000043,0.000017
1889,0.000076,0.000000
1890,0.000073,0.000000
1891,0.000105,0.000017
1892,0.000084,0.000000
1893,0.000086,0.000018
1894,0.000059,0.000024
1895,0.000091,0.000014
1896,0.000067,0.000000
1897,0.000069,0.000014
1898,0.000068,0.000021
1899,0.000088,0.000018
1900,0.000120,0.000022
1901,0.000104,0.000043
1902,0.000080,0.000000
1903,0.000089,0.000029
1904,0.000092,0.000017
1905,0.000066,0.000021
1906,0.000091,0.000030
1907,0.000105,0.000021
1908,0.000096,0.000023
1909,0.000096,0.000037
1910,0.000095,0.000024
1911,0.000079,0.000020
1912,0.000060,0.000020
1913,0.000055,0.000033
1914,0.000042,0.000040
1915,0.000052,0.000028
1916,0.000054,0.000035
1917,0.000050,0.000031
1918,0.000052,0.000033
1919,0.000049,0.000036
1920,0.000048,0.000041
1921,0.000042,0.000039
1922,0.000043,0.000033
1923,0.000043,0.000038
1924,0.000046,0.000032
1925,0.000047,0.000030
1926,0.000046,0.000033
1927,0.000040,0.000038
1928,0.000036,0.000028
1929,0.000033,0.000032
1930,0.000027,0.000039
1931,0.000028,0.000026
1932,0.000027,0.000028
1933,0.000032,0.000035
1934,0.000027,0.000036
1935,0.000028,0.000034
1936,0.000020,0.000032
1937,0.000021,0.000027
1938,0.000024,0.000024
1939,0.000023,0.000026
1940,0.000017,0.000022
1941,0.000017,0.000018
1942,0.000014,0.000021
1943,0.000015,0.000022
1944,0.000012,0.000021
1945,0.000010,0.000014
1946,0.000005,0.000011
1947,0.000009,0.000012
1948,0.000007,0.000008
1949,0.000006,0.000011
1950,0.000005,0.000010
1951,0.000005,0.000011
1952,0.000007,0.000011
1953,0.000004,0.000007
1954,0.000002,0.000007
1955,0.000005,0.000005
1956,0.000003,0.000005
1957,0.000003,0.000007
1958,0.000004,0.000003
1959,0.000004,0.000004
1960,0.000003,0.000003
1961,0.000003,0.000003
1962,0.000002,0.000003
1963,0.000002,0.000003
1964,0.000003,0.000003
1965,0.000002,0.000005
1966,0.000002,0.000002
1967,0.000002,0.000002
1968,0.000002,0.000004
1969,0.000003,0.000004
1970,0.000002,0.000002
1971,0.000002,0.000002
1972,0.000000,0.000004
1973,0.000000,0.000000
1974,0.000002,0.000000
1975,0.000000,0.000000
1976,0.000000,0.000002
1977,0.000000,0.000002
1978,0.000000,0.000000
1979,0.000000,0.000003
1980,0.000000,0.000002
1981,0.000000,0.000000
1982,0.000000,0.000000
1983,0.000001,0.000001
1984,0.000001,0.000000
1985,0.000002,0.000000
1986,0.000000,0.000000
1987,0.000000,0.000000
1988,0.000000,0.000001
1989,0.000002,0.000000
1990,0.000000,0.000000
1991,0.000000,0.000000
1992,0.000000,0.000001
1993,0.000000,0.000000
1994,0.000000,0.000000
1995,0.000000,0.000000
1996,0.000001,0.000000
1997,0.000000,0.000000
1998,0.000000,0.000000
1999,0.000000,0.000000
2000,0.000000,0.000000
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
