year,Cathi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,7
1943,12
1944,18
1945,10
1946,24
1947,43
1948,43
1949,38
1950,45
1951,48
1952,81
1953,80
1954,95
1955,64
1956,90
1957,135
1958,159
1959,158
1960,152
1961,161
1962,134
1963,107
1964,90
1965,75
1966,77
1967,45
1968,82
1969,63
1970,52
1971,46
1972,40
1973,28
1974,31
1975,13
1976,27
1977,16
1978,17
1979,22
1980,20
1981,14
1982,13
1983,11
1984,7
1985,5
1986,12
1987,9
1988,12
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
