year,Charlena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,6
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,0
1913,0
1914,10
1915,10
1916,9
1917,10
1918,9
1919,12
1920,10
1921,8
1922,14
1923,12
1924,14
1925,14
1926,16
1927,8
1928,10
1929,9
1930,10
1931,10
1932,12
1933,10
1934,13
1935,13
1936,12
1937,10
1938,16
1939,8
1940,8
1941,17
1942,16
1943,19
1944,20
1945,21
1946,17
1947,25
1948,18
1949,20
1950,20
1951,17
1952,18
1953,12
1954,16
1955,20
1956,24
1957,12
1958,26
1959,17
1960,19
1961,31
1962,28
1963,35
1964,29
1965,33
1966,29
1967,21
1968,32
1969,28
1970,32
1971,37
1972,23
1973,26
1974,27
1975,23
1976,24
1977,43
1978,46
1979,29
1980,25
1981,27
1982,36
1983,32
1984,37
1985,24
1986,31
1987,27
1988,41
1989,42
1990,19
1991,22
1992,18
1993,15
1994,13
1995,11
1996,12
1997,9
1998,12
1999,15
2000,10
2001,9
2002,0
2003,8
2004,0
2005,8
2006,8
2007,10
2008,0
2009,0
2010,5
2011,0
2012,7
