year,Cinda
1880,6
1881,0
1882,0
1883,0
1884,0
1885,6
1886,9
1887,6
1888,8
1889,8
1890,0
1891,0
1892,10
1893,8
1894,7
1895,7
1896,9
1897,5
1898,10
1899,6
1900,8
1901,0
1902,0
1903,6
1904,0
1905,6
1906,11
1907,9
1908,12
1909,6
1910,10
1911,13
1912,9
1913,8
1914,12
1915,7
1916,11
1917,8
1918,7
1919,17
1920,11
1921,11
1922,9
1923,8
1924,6
1925,5
1926,0
1927,0
1928,0
1929,9
1930,11
1931,10
1932,8
1933,7
1934,7
1935,8
1936,11
1937,12
1938,31
1939,12
1940,24
1941,39
1942,48
1943,53
1944,56
1945,71
1946,93
1947,165
1948,141
1949,161
1950,183
1951,168
1952,186
1953,219
1954,205
1955,191
1956,216
1957,192
1958,173
1959,146
1960,128
1961,100
1962,112
1963,90
1964,71
1965,66
1966,116
1967,72
1968,63
1969,73
1970,53
1971,50
1972,48
1973,51
1974,28
1975,25
1976,34
1977,23
1978,13
1979,18
1980,13
1981,11
1982,21
1983,17
1984,11
1985,17
1986,15
1987,9
1988,7
1989,11
1990,7
1991,10
1992,7
1993,11
1994,5
1995,0
1996,0
1997,7
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,6
2012,0
