year,Concha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,7
1904,7
1905,10
1906,5
1907,14
1908,10
1909,14
1910,8
1911,11
1912,8
1913,15
1914,24
1915,25
1916,23
1917,40
1918,33
1919,62
1920,47
1921,60
1922,71
1923,57
1924,51
1925,76
1926,60
1927,45
1928,55
1929,65
1930,61
1931,37
1932,43
1933,52
1934,41
1935,37
1936,27
1937,32
1938,29
1939,21
1940,33
1941,16
1942,14
1943,20
1944,17
1945,17
1946,19
1947,22
1948,21
1949,12
1950,12
1951,8
1952,10
1953,16
1954,11
1955,9
1956,8
1957,11
1958,8
1959,8
1960,7
1961,9
1962,11
1963,0
1964,9
1965,8
1966,5
1967,5
1968,0
1969,6
1970,0
1971,5
1972,0
1973,0
1974,5
1975,0
1976,6
1977,0
1978,0
1979,9
1980,7
1981,5
1982,9
1983,0
1984,10
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
