year,Cherita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,8
1949,6
1950,0
1951,0
1952,7
1953,11
1954,8
1955,8
1956,13
1957,7
1958,8
1959,12
1960,14
1961,25
1962,20
1963,17
1964,12
1965,29
1966,25
1967,22
1968,28
1969,27
1970,32
1971,21
1972,38
1973,35
1974,33
1975,46
1976,31
1977,39
1978,42
1979,41
1980,47
1981,40
1982,41
1983,30
1984,38
1985,37
1986,22
1987,34
1988,22
1989,18
1990,17
1991,11
1992,6
1993,8
1994,10
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
