year,Consuella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,9
1918,7
1919,7
1920,8
1921,9
1922,12
1923,8
1924,10
1925,6
1926,11
1927,0
1928,11
1929,7
1930,6
1931,19
1932,9
1933,6
1934,7
1935,8
1936,6
1937,10
1938,8
1939,7
1940,10
1941,9
1942,12
1943,8
1944,9
1945,8
1946,12
1947,13
1948,23
1949,22
1950,15
1951,16
1952,13
1953,13
1954,15
1955,13
1956,21
1957,16
1958,13
1959,9
1960,11
1961,11
1962,21
1963,9
1964,10
1965,13
1966,13
1967,9
1968,16
1969,16
1970,22
1971,42
1972,41
1973,33
1974,38
1975,15
1976,23
1977,20
1978,0
1979,9
1980,16
1981,7
1982,6
1983,0
1984,5
1985,5
1986,0
1987,5
1988,0
1989,8
1990,0
1991,5
1992,8
1993,5
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
