year,Christal
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,6
1915,5
1916,0
1917,6
1918,7
1919,5
1920,6
1921,5
1922,7
1923,0
1924,0
1925,7
1926,7
1927,0
1928,0
1929,6
1930,6
1931,0
1932,8
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,6
1946,11
1947,12
1948,9
1949,9
1950,24
1951,52
1952,60
1953,66
1954,83
1955,86
1956,53
1957,73
1958,69
1959,78
1960,75
1961,82
1962,85
1963,84
1964,122
1965,101
1966,110
1967,113
1968,114
1969,188
1970,196
1971,233
1972,236
1973,306
1974,264
1975,276
1976,300
1977,346
1978,352
1979,337
1980,293
1981,292
1982,348
1983,313
1984,267
1985,258
1986,211
1987,206
1988,177
1989,154
1990,175
1991,162
1992,167
1993,144
1994,133
1995,108
1996,113
1997,120
1998,123
1999,89
2000,90
2001,102
2002,66
2003,79
2004,89
2005,63
2006,78
2007,72
2008,79
2009,44
2010,55
2011,53
2012,42
