year,Conard
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,13
1914,16
1915,22
1916,14
1917,22
1918,18
1919,21
1920,24
1921,21
1922,21
1923,29
1924,15
1925,18
1926,10
1927,18
1928,17
1929,17
1930,16
1931,18
1932,20
1933,23
1934,14
1935,18
1936,15
1937,14
1938,27
1939,16
1940,12
1941,10
1942,16
1943,7
1944,5
1945,14
1946,10
1947,12
1948,5
1949,8
1950,7
1951,15
1952,6
1953,6
1954,0
1955,11
1956,5
1957,7
1958,7
1959,7
1960,6
1961,0
1962,0
1963,0
1964,9
1965,0
1966,0
1967,0
1968,7
1969,0
1970,5
1971,6
1972,0
1973,8
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,5
1983,0
1984,0
1985,5
1986,0
1987,0
1988,5
1989,0
1990,8
1991,0
1992,0
1993,0
1994,5
1995,5
1996,5
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
