year,Clark (F),Clark (M)
1880,0.000000,0.000243
1881,0.000000,0.000343
1882,0.000000,0.000244
1883,0.000000,0.000207
1884,0.000000,0.000226
1885,0.000000,0.000187
1886,0.000000,0.000192
1887,0.000000,0.000218
1888,0.000000,0.000150
1889,0.000000,0.000176
1890,0.000000,0.000169
1891,0.000000,0.000126
1892,0.000000,0.000182
1893,0.000000,0.000154
1894,0.000000,0.000148
1895,0.000000,0.000151
1896,0.000000,0.000162
1897,0.000000,0.000167
1898,0.000000,0.000110
1899,0.000000,0.000136
1900,0.000000,0.000167
1901,0.000000,0.000150
1902,0.000000,0.000080
1903,0.000000,0.000129
1904,0.000000,0.000114
1905,0.000000,0.000113
1906,0.000000,0.000124
1907,0.000000,0.000092
1908,0.000000,0.000111
1909,0.000000,0.000100
1910,0.000000,0.000120
1911,0.000000,0.000106
1912,0.000000,0.000189
1913,0.000000,0.000168
1914,0.000000,0.000171
1915,0.000000,0.000158
1916,0.000000,0.000173
1917,0.000000,0.000172
1918,0.000003,0.000151
1919,0.000000,0.000155
1920,0.000002,0.000136
1921,0.000000,0.000153
1922,0.000000,0.000142
1923,0.000002,0.000142
1924,0.000000,0.000118
1925,0.000000,0.000117
1926,0.000000,0.000115
1927,0.000000,0.000126
1928,0.000000,0.000107
1929,0.000000,0.000111
1930,0.000002,0.000115
1931,0.000000,0.000116
1932,0.000000,0.000160
1933,0.000000,0.000185
1934,0.000000,0.000206
1935,0.000000,0.000180
1936,0.000000,0.000210
1937,0.000000,0.000203
1938,0.000000,0.000220
1939,0.000000,0.000180
1940,0.000000,0.000185
1941,0.000000,0.000187
1942,0.000000,0.000197
1943,0.000002,0.000179
1944,0.000000,0.000162
1945,0.000002,0.000161
1946,0.000000,0.000163
1947,0.000000,0.000165
1948,0.000000,0.000160
1949,0.000001,0.000170
1950,0.000000,0.000178
1951,0.000000,0.000172
1952,0.000000,0.000168
1953,0.000000,0.000168
1954,0.000000,0.000180
1955,0.000000,0.000181
1956,0.000000,0.000171
1957,0.000001,0.000152
1958,0.000000,0.000162
1959,0.000000,0.000152
1960,0.000000,0.000146
1961,0.000000,0.000212
1962,0.000001,0.000198
1963,0.000000,0.000185
1964,0.000000,0.000172
1965,0.000000,0.000172
1966,0.000000,0.000152
1967,0.000003,0.000138
1968,0.000001,0.000126
1969,0.000000,0.000118
1970,0.000000,0.000106
1971,0.000000,0.000094
1972,0.000000,0.000087
1973,0.000000,0.000075
1974,0.000000,0.000065
1975,0.000000,0.000075
1976,0.000000,0.000065
1977,0.000000,0.000081
1978,0.000000,0.000068
1979,0.000000,0.000073
1980,0.000000,0.000076
1981,0.000000,0.000075
1982,0.000000,0.000087
1983,0.000001,0.000092
1984,0.000000,0.000087
1985,0.000000,0.000080
1986,0.000001,0.000089
1987,0.000000,0.000083
1988,0.000000,0.000086
1989,0.000001,0.000088
1990,0.000000,0.000086
1991,0.000000,0.000078
1992,0.000002,0.000072
1993,0.000002,0.000070
1994,0.000000,0.000072
1995,0.000000,0.000078
1996,0.000000,0.000072
1997,0.000001,0.000068
1998,0.000000,0.000060
1999,0.000000,0.000061
2000,0.000000,0.000058
2001,0.000000,0.000053
2002,0.000000,0.000056
2003,0.000000,0.000058
2004,0.000000,0.000068
2005,0.000002,0.000064
2006,0.000000,0.000082
2007,0.000002,0.000096
2008,0.000000,0.000087
2009,0.000000,0.000088
2010,0.000001,0.000091
2011,0.000002,0.000106
2012,0.000000,0.000129
