year,Coletta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,6
1891,0
1892,6
1893,8
1894,6
1895,10
1896,0
1897,13
1898,12
1899,0
1900,14
1901,9
1902,20
1903,14
1904,9
1905,13
1906,11
1907,16
1908,19
1909,15
1910,25
1911,10
1912,21
1913,32
1914,32
1915,29
1916,53
1917,50
1918,58
1919,39
1920,46
1921,41
1922,51
1923,58
1924,62
1925,57
1926,57
1927,46
1928,31
1929,31
1930,42
1931,42
1932,38
1933,32
1934,37
1935,38
1936,32
1937,34
1938,30
1939,28
1940,36
1941,29
1942,21
1943,26
1944,25
1945,17
1946,18
1947,20
1948,20
1949,28
1950,16
1951,22
1952,25
1953,22
1954,24
1955,31
1956,35
1957,38
1958,24
1959,31
1960,26
1961,21
1962,19
1963,14
1964,19
1965,8
1966,12
1967,11
1968,19
1969,17
1970,20
1971,16
1972,12
1973,7
1974,6
1975,9
1976,10
1977,11
1978,16
1979,13
1980,7
1981,7
1982,6
1983,13
1984,5
1985,5
1986,7
1987,10
1988,9
1989,6
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,8
1997,0
1998,5
1999,0
2000,6
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,7
2012,5
