year,Carra
1880,7
1881,0
1882,0
1883,0
1884,5
1885,6
1886,0
1887,8
1888,8
1889,0
1890,8
1891,0
1892,8
1893,6
1894,9
1895,6
1896,8
1897,0
1898,10
1899,9
1900,6
1901,6
1902,5
1903,8
1904,6
1905,6
1906,6
1907,6
1908,7
1909,0
1910,9
1911,11
1912,8
1913,10
1914,7
1915,12
1916,9
1917,13
1918,5
1919,8
1920,10
1921,10
1922,7
1923,11
1924,9
1925,9
1926,8
1927,5
1928,6
1929,10
1930,5
1931,6
1932,0
1933,6
1934,8
1935,5
1936,0
1937,6
1938,0
1939,0
1940,11
1941,0
1942,6
1943,9
1944,7
1945,0
1946,5
1947,9
1948,5
1949,6
1950,0
1951,0
1952,0
1953,5
1954,9
1955,7
1956,5
1957,0
1958,7
1959,5
1960,8
1961,11
1962,7
1963,11
1964,9
1965,9
1966,5
1967,11
1968,9
1969,10
1970,12
1971,8
1972,0
1973,11
1974,19
1975,23
1976,16
1977,18
1978,14
1979,17
1980,13
1981,12
1982,20
1983,22
1984,17
1985,25
1986,26
1987,21
1988,21
1989,26
1990,25
1991,18
1992,20
1993,28
1994,19
1995,14
1996,21
1997,26
1998,20
1999,20
2000,15
2001,14
2002,12
2003,13
2004,14
2005,8
2006,7
2007,15
2008,14
2009,15
2010,16
2011,16
2012,8
