year,Cresencio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,0
1915,6
1916,6
1917,0
1918,8
1919,0
1920,8
1921,7
1922,8
1923,11
1924,11
1925,10
1926,6
1927,10
1928,18
1929,20
1930,13
1931,7
1932,13
1933,11
1934,10
1935,12
1936,13
1937,12
1938,0
1939,12
1940,8
1941,18
1942,10
1943,13
1944,9
1945,15
1946,12
1947,12
1948,14
1949,6
1950,14
1951,9
1952,0
1953,7
1954,8
1955,11
1956,8
1957,0
1958,9
1959,9
1960,6
1961,6
1962,8
1963,13
1964,10
1965,0
1966,5
1967,5
1968,5
1969,11
1970,7
1971,6
1972,14
1973,11
1974,6
1975,11
1976,12
1977,9
1978,17
1979,15
1980,11
1981,19
1982,11
1983,7
1984,6
1985,8
1986,13
1987,14
1988,0
1989,13
1990,15
1991,6
1992,6
1993,8
1994,5
1995,10
1996,8
1997,10
1998,10
1999,8
2000,8
2001,7
2002,11
2003,6
2004,0
2005,5
2006,0
2007,5
2008,0
2009,0
2010,8
2011,0
2012,0
