year,Catherin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,10
1916,8
1917,7
1918,8
1919,5
1920,0
1921,7
1922,8
1923,7
1924,13
1925,8
1926,11
1927,8
1928,7
1929,8
1930,0
1931,7
1932,7
1933,9
1934,5
1935,5
1936,6
1937,5
1938,0
1939,8
1940,0
1941,6
1942,7
1943,7
1944,9
1945,5
1946,8
1947,10
1948,10
1949,9
1950,9
1951,8
1952,11
1953,10
1954,13
1955,18
1956,18
1957,12
1958,23
1959,15
1960,11
1961,14
1962,16
1963,13
1964,11
1965,6
1966,9
1967,8
1968,16
1969,11
1970,14
1971,11
1972,7
1973,8
1974,12
1975,6
1976,9
1977,5
1978,7
1979,5
1980,8
1981,0
1982,5
1983,10
1984,12
1985,8
1986,7
1987,5
1988,9
1989,143
1990,10
1991,15
1992,11
1993,12
1994,10
1995,8
1996,12
1997,8
1998,12
1999,14
2000,17
2001,24
2002,14
2003,17
2004,18
2005,19
2006,21
2007,11
2008,14
2009,15
2010,11
2011,5
2012,9
