year,Cassy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,6
1948,6
1949,0
1950,0
1951,7
1952,6
1953,5
1954,6
1955,0
1956,0
1957,5
1958,11
1959,10
1960,15
1961,13
1962,12
1963,19
1964,8
1965,11
1966,14
1967,12
1968,8
1969,9
1970,14
1971,18
1972,23
1973,16
1974,14
1975,13
1976,21
1977,32
1978,40
1979,49
1980,52
1981,66
1982,91
1983,84
1984,83
1985,78
1986,105
1987,77
1988,84
1989,70
1990,76
1991,56
1992,66
1993,55
1994,50
1995,38
1996,41
1997,45
1998,50
1999,50
2000,35
2001,32
2002,27
2003,15
2004,22
2005,24
2006,12
2007,16
2008,20
2009,7
2010,9
2011,8
2012,9
