year,Cornelius (F),Cornelius (M)
1880,0.000000,0.000457
1881,0.000000,0.000415
1882,0.000000,0.000483
1883,0.000000,0.000424
1884,0.000000,0.000361
1885,0.000000,0.000399
1886,0.000000,0.000372
1887,0.000000,0.000319
1888,0.000023,0.000351
1889,0.000000,0.000266
1890,0.000000,0.000279
1891,0.000000,0.000262
1892,0.000000,0.000308
1893,0.000000,0.000249
1894,0.000000,0.000295
1895,0.000014,0.000245
1896,0.000000,0.000238
1897,0.000000,0.000262
1898,0.000018,0.000204
1899,0.000015,0.000206
1900,0.000013,0.000258
1901,0.000000,0.000220
1902,0.000000,0.000248
1903,0.000013,0.000241
1904,0.000000,0.000263
1905,0.000012,0.000203
1906,0.000016,0.000219
1907,0.000000,0.000228
1908,0.000014,0.000176
1909,0.000010,0.000192
1910,0.000010,0.000163
1911,0.000009,0.000214
1912,0.000008,0.000246
1913,0.000000,0.000244
1914,0.000008,0.000200
1915,0.000004,0.000203
1916,0.000003,0.000208
1917,0.000005,0.000193
1918,0.000003,0.000209
1919,0.000005,0.000196
1920,0.000003,0.000191
1921,0.000005,0.000192
1922,0.000004,0.000190
1923,0.000007,0.000172
1924,0.000006,0.000169
1925,0.000006,0.000167
1926,0.000006,0.000160
1927,0.000005,0.000169
1928,0.000007,0.000169
1929,0.000003,0.000170
1930,0.000006,0.000166
1931,0.000003,0.000171
1932,0.000003,0.000167
1933,0.000005,0.000158
1934,0.000004,0.000151
1935,0.000003,0.000139
1936,0.000003,0.000140
1937,0.000003,0.000131
1938,0.000003,0.000127
1939,0.000003,0.000122
1940,0.000003,0.000114
1941,0.000000,0.000104
1942,0.000003,0.000101
1943,0.000000,0.000094
1944,0.000000,0.000089
1945,0.000002,0.000099
1946,0.000003,0.000071
1947,0.000003,0.000086
1948,0.000000,0.000094
1949,0.000002,0.000089
1950,0.000002,0.000081
1951,0.000000,0.000089
1952,0.000002,0.000089
1953,0.000002,0.000075
1954,0.000002,0.000084
1955,0.000002,0.000084
1956,0.000002,0.000078
1957,0.000001,0.000080
1958,0.000001,0.000078
1959,0.000001,0.000077
1960,0.000000,0.000078
1961,0.000002,0.000082
1962,0.000002,0.000066
1963,0.000002,0.000070
1964,0.000001,0.000067
1965,0.000002,0.000077
1966,0.000002,0.000070
1967,0.000002,0.000078
1968,0.000002,0.000073
1969,0.000000,0.000079
1970,0.000003,0.000085
1971,0.000002,0.000089
1972,0.000002,0.000116
1973,0.000000,0.000150
1974,0.000004,0.000160
1975,0.000003,0.000138
1976,0.000002,0.000135
1977,0.000002,0.000129
1978,0.000003,0.000134
1979,0.000002,0.000120
1980,0.000003,0.000127
1981,0.000002,0.000131
1982,0.000003,0.000120
1983,0.000001,0.000112
1984,0.000003,0.000118
1985,0.000002,0.000106
1986,0.000003,0.000110
1987,0.000002,0.000109
1988,0.000002,0.000101
1989,0.000000,0.000113
1990,0.000001,0.000100
1991,0.000000,0.000095
1992,0.000000,0.000092
1993,0.000000,0.000081
1994,0.000000,0.000073
1995,0.000000,0.000071
1996,0.000000,0.000067
1997,0.000000,0.000061
1998,0.000000,0.000064
1999,0.000000,0.000062
2000,0.000000,0.000055
2001,0.000000,0.000049
2002,0.000000,0.000051
2003,0.000000,0.000058
2004,0.000000,0.000045
2005,0.000000,0.000046
2006,0.000000,0.000051
2007,0.000000,0.000050
2008,0.000000,0.000051
2009,0.000000,0.000044
2010,0.000000,0.000038
2011,0.000000,0.000042
2012,0.000000,0.000041
2013,0.000000,0.000041
