year,Christinia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,0
1914,0
1915,0
1916,0
1917,0
1918,7
1919,0
1920,6
1921,0
1922,0
1923,5
1924,0
1925,8
1926,10
1927,7
1928,0
1929,0
1930,5
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,0
1942,0
1943,7
1944,7
1945,0
1946,8
1947,11
1948,5
1949,6
1950,8
1951,7
1952,11
1953,6
1954,5
1955,7
1956,11
1957,10
1958,7
1959,14
1960,7
1961,8
1962,11
1963,14
1964,18
1965,13
1966,8
1967,23
1968,21
1969,30
1970,34
1971,41
1972,38
1973,40
1974,53
1975,38
1976,48
1977,51
1978,59
1979,61
1980,54
1981,35
1982,35
1983,41
1984,30
1985,39
1986,38
1987,29
1988,28
1989,26
1990,27
1991,14
1992,11
1993,13
1994,5
1995,10
1996,11
1997,11
1998,0
1999,0
2000,5
2001,8
2002,0
2003,5
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
