year,Charla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,6
1918,5
1919,0
1920,6
1921,6
1922,10
1923,0
1924,7
1925,8
1926,7
1927,8
1928,8
1929,9
1930,10
1931,17
1932,10
1933,14
1934,8
1935,13
1936,24
1937,22
1938,27
1939,39
1940,37
1941,37
1942,61
1943,54
1944,120
1945,122
1946,96
1947,117
1948,100
1949,120
1950,125
1951,140
1952,129
1953,134
1954,145
1955,180
1956,190
1957,165
1958,150
1959,164
1960,159
1961,170
1962,191
1963,186
1964,177
1965,165
1966,202
1967,189
1968,211
1969,219
1970,210
1971,192
1972,169
1973,162
1974,156
1975,132
1976,191
1977,200
1978,142
1979,144
1980,153
1981,124
1982,116
1983,100
1984,107
1985,96
1986,101
1987,77
1988,71
1989,94
1990,74
1991,70
1992,38
1993,49
1994,42
1995,37
1996,33
1997,26
1998,27
1999,18
2000,23
2001,21
2002,14
2003,26
2004,34
2005,24
2006,18
2007,18
2008,16
2009,19
2010,19
2011,19
2012,8
