year,Cami
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,6
1956,5
1957,10
1958,23
1959,23
1960,30
1961,32
1962,37
1963,49
1964,48
1965,47
1966,73
1967,351
1968,163
1969,113
1970,104
1971,80
1972,79
1973,100
1974,95
1975,124
1976,84
1977,104
1978,93
1979,102
1980,86
1981,101
1982,94
1983,96
1984,91
1985,114
1986,107
1987,90
1988,124
1989,96
1990,111
1991,87
1992,98
1993,93
1994,76
1995,77
1996,88
1997,86
1998,102
1999,103
2000,93
2001,85
2002,107
2003,79
2004,80
2005,88
2006,98
2007,108
2008,102
2009,89
2010,92
2011,70
2012,55
