year,Cleta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,10
1889,0
1890,0
1891,0
1892,0
1893,7
1894,8
1895,7
1896,13
1897,10
1898,14
1899,8
1900,10
1901,10
1902,13
1903,16
1904,13
1905,21
1906,9
1907,22
1908,19
1909,25
1910,18
1911,39
1912,40
1913,50
1914,69
1915,82
1916,89
1917,87
1918,88
1919,64
1920,86
1921,100
1922,85
1923,77
1924,85
1925,95
1926,99
1927,88
1928,92
1929,83
1930,91
1931,110
1932,94
1933,73
1934,125
1935,136
1936,102
1937,80
1938,100
1939,77
1940,77
1941,77
1942,56
1943,69
1944,58
1945,57
1946,46
1947,66
1948,52
1949,59
1950,48
1951,47
1952,50
1953,63
1954,51
1955,52
1956,36
1957,32
1958,25
1959,31
1960,21
1961,20
1962,15
1963,12
1964,11
1965,0
1966,17
1967,18
1968,14
1969,12
1970,9
1971,11
1972,10
1973,8
1974,8
1975,6
1976,0
1977,5
1978,7
1979,5
1980,7
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
