year,Carin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,5
1940,9
1941,6
1942,11
1943,8
1944,11
1945,13
1946,24
1947,37
1948,49
1949,50
1950,38
1951,52
1952,40
1953,50
1954,49
1955,50
1956,85
1957,85
1958,53
1959,91
1960,113
1961,82
1962,100
1963,73
1964,91
1965,114
1966,101
1967,126
1968,149
1969,157
1970,175
1971,164
1972,141
1973,126
1974,159
1975,132
1976,117
1977,156
1978,111
1979,111
1980,81
1981,90
1982,103
1983,82
1984,78
1985,60
1986,58
1987,59
1988,66
1989,47
1990,39
1991,53
1992,43
1993,42
1994,23
1995,22
1996,21
1997,11
1998,18
1999,28
2000,25
2001,16
2002,13
2003,13
2004,14
2005,10
2006,10
2007,23
2008,5
2009,9
2010,6
2011,12
2012,0
