year,Cornelio
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,0
1914,0
1915,0
1916,6
1917,5
1918,7
1919,7
1920,6
1921,12
1922,10
1923,12
1924,13
1925,13
1926,12
1927,16
1928,12
1929,12
1930,8
1931,13
1932,13
1933,11
1934,14
1935,13
1936,17
1937,9
1938,7
1939,16
1940,11
1941,11
1942,8
1943,18
1944,8
1945,12
1946,10
1947,27
1948,19
1949,13
1950,15
1951,9
1952,12
1953,16
1954,7
1955,19
1956,10
1957,10
1958,14
1959,13
1960,15
1961,7
1962,14
1963,15
1964,6
1965,16
1966,7
1967,14
1968,6
1969,11
1970,14
1971,28
1972,18
1973,28
1974,20
1975,25
1976,21
1977,14
1978,18
1979,26
1980,21
1981,17
1982,14
1983,20
1984,20
1985,11
1986,20
1987,15
1988,15
1989,30
1990,29
1991,21
1992,20
1993,22
1994,24
1995,29
1996,20
1997,19
1998,18
1999,17
2000,12
2001,15
2002,22
2003,17
2004,25
2005,14
2006,15
2007,16
2008,20
2009,14
2010,17
2011,15
2012,16
