year,Cleola
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,6
1897,7
1898,7
1899,0
1900,8
1901,7
1902,6
1903,0
1904,10
1905,0
1906,12
1907,13
1908,16
1909,17
1910,10
1911,6
1912,22
1913,23
1914,22
1915,35
1916,24
1917,34
1918,29
1919,41
1920,23
1921,35
1922,28
1923,29
1924,41
1925,48
1926,37
1927,24
1928,34
1929,23
1930,21
1931,26
1932,21
1933,23
1934,29
1935,22
1936,24
1937,22
1938,15
1939,18
1940,20
1941,15
1942,14
1943,20
1944,22
1945,20
1946,14
1947,21
1948,16
1949,14
1950,10
1951,13
1952,13
1953,10
1954,12
1955,9
1956,9
1957,10
1958,7
1959,0
1960,7
1961,0
1962,5
1963,6
1964,0
1965,0
1966,5
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,6
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
