year,Charlette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,8
1916,0
1917,8
1918,9
1919,0
1920,7
1921,7
1922,9
1923,6
1924,12
1925,9
1926,12
1927,8
1928,14
1929,12
1930,12
1931,13
1932,15
1933,12
1934,13
1935,10
1936,13
1937,15
1938,26
1939,23
1940,32
1941,22
1942,32
1943,50
1944,50
1945,39
1946,56
1947,64
1948,41
1949,68
1950,62
1951,67
1952,44
1953,42
1954,61
1955,31
1956,52
1957,63
1958,39
1959,56
1960,57
1961,55
1962,55
1963,74
1964,82
1965,77
1966,83
1967,64
1968,65
1969,73
1970,85
1971,84
1972,77
1973,63
1974,47
1975,56
1976,58
1977,52
1978,49
1979,55
1980,41
1981,37
1982,44
1983,38
1984,44
1985,39
1986,33
1987,32
1988,26
1989,34
1990,32
1991,25
1992,37
1993,24
1994,18
1995,27
1996,13
1997,20
1998,17
1999,14
2000,14
2001,6
2002,15
2003,22
2004,13
2005,14
2006,25
2007,20
2008,29
2009,34
2010,41
2011,70
2012,65
