year,Cathrine
1880,13
1881,18
1882,13
1883,19
1884,17
1885,18
1886,17
1887,14
1888,19
1889,14
1890,22
1891,22
1892,20
1893,25
1894,22
1895,24
1896,18
1897,13
1898,25
1899,16
1900,27
1901,13
1902,20
1903,22
1904,17
1905,34
1906,28
1907,34
1908,20
1909,25
1910,45
1911,38
1912,46
1913,44
1914,56
1915,74
1916,72
1917,93
1918,85
1919,86
1920,92
1921,105
1922,77
1923,85
1924,88
1925,81
1926,84
1927,68
1928,87
1929,73
1930,71
1931,62
1932,54
1933,58
1934,47
1935,58
1936,47
1937,44
1938,40
1939,37
1940,43
1941,38
1942,35
1943,52
1944,55
1945,53
1946,73
1947,78
1948,72
1949,98
1950,117
1951,114
1952,111
1953,129
1954,131
1955,155
1956,178
1957,141
1958,172
1959,165
1960,130
1961,150
1962,131
1963,114
1964,119
1965,114
1966,107
1967,105
1968,77
1969,108
1970,83
1971,72
1972,82
1973,68
1974,58
1975,60
1976,56
1977,56
1978,47
1979,49
1980,60
1981,49
1982,56
1983,47
1984,53
1985,59
1986,38
1987,50
1988,52
1989,42
1990,49
1991,44
1992,56
1993,41
1994,62
1995,41
1996,32
1997,34
1998,38
1999,34
2000,31
2001,29
2002,39
2003,36
2004,48
2005,28
2006,26
2007,17
2008,18
2009,21
2010,16
2011,12
2012,8
