year,Chenoa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,7
1968,0
1969,6
1970,17
1971,23
1972,20
1973,25
1974,34
1975,43
1976,59
1977,46
1978,50
1979,50
1980,41
1981,46
1982,42
1983,26
1984,30
1985,32
1986,25
1987,27
1988,27
1989,37
1990,36
1991,34
1992,49
1993,29
1994,35
1995,46
1996,41
1997,45
1998,49
1999,44
2000,52
2001,53
2002,46
2003,45
2004,36
2005,33
2006,36
2007,39
2008,19
2009,21
2010,20
2011,23
2012,20
