year,Char
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,5
1946,7
1947,0
1948,11
1949,7
1950,5
1951,7
1952,20
1953,0
1954,15
1955,11
1956,13
1957,6
1958,10
1959,15
1960,26
1961,17
1962,15
1963,13
1964,10
1965,10
1966,5
1967,8
1968,14
1969,8
1970,12
1971,12
1972,18
1973,19
1974,18
1975,15
1976,12
1977,15
1978,10
1979,7
1980,5
1981,11
1982,6
1983,9
1984,5
1985,0
1986,6
1987,0
1988,8
1989,11
1990,15
1991,0
1992,0
1993,5
1994,0
1995,6
1996,0
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
