year,Charolette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,7
1917,0
1918,16
1919,12
1920,9
1921,7
1922,7
1923,18
1924,13
1925,10
1926,17
1927,19
1928,10
1929,14
1930,20
1931,13
1932,17
1933,29
1934,27
1935,29
1936,41
1937,33
1938,37
1939,38
1940,48
1941,51
1942,60
1943,90
1944,87
1945,81
1946,86
1947,85
1948,87
1949,90
1950,89
1951,85
1952,68
1953,66
1954,75
1955,52
1956,52
1957,70
1958,44
1959,51
1960,49
1961,50
1962,48
1963,47
1964,55
1965,57
1966,50
1967,59
1968,54
1969,59
1970,50
1971,38
1972,43
1973,37
1974,26
1975,21
1976,23
1977,24
1978,25
1979,19
1980,17
1981,11
1982,11
1983,11
1984,10
1985,14
1986,12
1987,20
1988,10
1989,11
1990,16
1991,8
1992,8
1993,7
1994,8
1995,9
1996,12
1997,7
1998,7
1999,9
2000,6
2001,10
2002,6
2003,7
2004,9
2005,6
2006,13
2007,19
2008,11
2009,11
2010,16
2011,15
2012,26
