year,Cherilyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,6
1942,6
1943,0
1944,28
1945,23
1946,49
1947,45
1948,30
1949,28
1950,41
1951,28
1952,32
1953,42
1954,29
1955,47
1956,57
1957,41
1958,27
1959,34
1960,36
1961,34
1962,30
1963,33
1964,27
1965,42
1966,37
1967,36
1968,41
1969,21
1970,23
1971,27
1972,161
1973,84
1974,112
1975,130
1976,121
1977,72
1978,49
1979,55
1980,40
1981,31
1982,40
1983,30
1984,31
1985,43
1986,34
1987,24
1988,36
1989,27
1990,36
1991,23
1992,17
1993,13
1994,15
1995,12
1996,9
1997,16
1998,11
1999,23
2000,15
2001,14
2002,5
2003,9
2004,10
2005,6
2006,9
2007,6
2008,0
2009,0
2010,0
2011,0
2012,0
