year,Cathey
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,6
1940,0
1941,16
1942,23
1943,27
1944,20
1945,33
1946,51
1947,63
1948,80
1949,97
1950,106
1951,134
1952,146
1953,157
1954,99
1955,143
1956,118
1957,111
1958,89
1959,96
1960,82
1961,65
1962,64
1963,57
1964,54
1965,52
1966,28
1967,25
1968,23
1969,27
1970,30
1971,16
1972,17
1973,8
1974,9
1975,10
1976,7
1977,7
1978,0
1979,5
1980,5
1981,0
1982,5
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
