year,Cleve (F),Cleve (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000059
1883,0.000000,0.000055
1884,0.000000,0.000267
1885,0.000000,0.000286
1886,0.000000,0.000141
1887,0.000000,0.000137
1888,0.000000,0.000147
1889,0.000000,0.000076
1890,0.000000,0.000060
1891,0.000000,0.000084
1892,0.000000,0.000105
1893,0.000000,0.000086
1894,0.000000,0.000077
1895,0.000000,0.000046
1896,0.000000,0.000048
1897,0.000000,0.000072
1898,0.000000,0.000042
1899,0.000000,0.000041
1900,0.000000,0.000036
1901,0.000000,0.000035
1902,0.000000,0.000041
1903,0.000000,0.000039
1904,0.000000,0.000035
1905,0.000000,0.000038
1906,0.000000,0.000042
1907,0.000000,0.000052
1908,0.000000,0.000039
1909,0.000000,0.000041
1910,0.000000,0.000051
1911,0.000000,0.000036
1912,0.000000,0.000041
1913,0.000000,0.000026
1914,0.000000,0.000040
1915,0.000000,0.000034
1916,0.000000,0.000032
1917,0.000000,0.000030
1918,0.000003,0.000028
1919,0.000000,0.000027
1920,0.000000,0.000029
1921,0.000000,0.000026
1922,0.000000,0.000028
1923,0.000000,0.000023
1924,0.000000,0.000023
1925,0.000003,0.000021
1926,0.000000,0.000024
1927,0.000000,0.000022
1928,0.000003,0.000028
1929,0.000000,0.000024
1930,0.000002,0.000021
1931,0.000000,0.000021
1932,0.000000,0.000025
1933,0.000000,0.000029
1934,0.000000,0.000029
1935,0.000000,0.000024
1936,0.000000,0.000026
1937,0.000000,0.000018
1938,0.000000,0.000023
1939,0.000000,0.000020
1940,0.000000,0.000017
1941,0.000000,0.000016
1942,0.000000,0.000019
1943,0.000000,0.000020
1944,0.000000,0.000018
1945,0.000000,0.000017
1946,0.000000,0.000015
1947,0.000000,0.000022
1948,0.000000,0.000023
1949,0.000000,0.000020
1950,0.000000,0.000018
1951,0.000000,0.000023
1952,0.000000,0.000019
1953,0.000000,0.000018
1954,0.000000,0.000020
1955,0.000000,0.000017
1956,0.000000,0.000015
1957,0.000000,0.000013
1958,0.000000,0.000015
1959,0.000000,0.000016
1960,0.000000,0.000011
1961,0.000000,0.000013
1962,0.000000,0.000013
1963,0.000000,0.000011
1964,0.000000,0.000009
1965,0.000000,0.000009
1966,0.000000,0.000012
1967,0.000000,0.000009
1968,0.000000,0.000008
1969,0.000000,0.000010
1970,0.000000,0.000009
1971,0.000000,0.000010
1972,0.000000,0.000013
1973,0.000000,0.000008
1974,0.000000,0.000009
1975,0.000000,0.000007
1976,0.000000,0.000009
1977,0.000000,0.000012
1978,0.000000,0.000009
1979,0.000000,0.000006
1980,0.000000,0.000010
1981,0.000000,0.000005
1982,0.000000,0.000005
1983,0.000000,0.000007
1984,0.000000,0.000006
1985,0.000000,0.000004
1986,0.000000,0.000004
1987,0.000000,0.000003
1988,0.000000,0.000004
1989,0.000000,0.000004
1990,0.000000,0.000003
1991,0.000000,0.000006
1992,0.000000,0.000005
1993,0.000000,0.000003
1994,0.000000,0.000003
1995,0.000000,0.000002
1996,0.000000,0.000002
1997,0.000000,0.000001
1998,0.000000,0.000000
1999,0.000000,0.000002
2000,0.000000,0.000002
2001,0.000000,0.000000
2002,0.000000,0.000000
2003,0.000000,0.000001
2004,0.000000,0.000001
2005,0.000000,0.000001
2006,0.000000,0.000001
2007,0.000000,0.000002
2008,0.000000,0.000000
2009,0.000000,0.000002
2010,0.000000,0.000001
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000001
2014,0.000000,0.000000
2015,0.000000,0.000000
2016,0.000000,0.000000
2017,0.000000,0.000000
2018,0.000000,0.000000
2019,0.000000,0.000000
2020,0.000000,0.000000
