year,Cletus (F),Cletus (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000017
1892,0.000000,0.000015
1893,0.000000,0.000037
1894,0.000000,0.000030
1895,0.000000,0.000028
1896,0.000000,0.000031
1897,0.000000,0.000026
1898,0.000013,0.000021
1899,0.000015,0.000029
1900,0.000000,0.000033
1901,0.000000,0.000035
1902,0.000000,0.000026
1903,0.000000,0.000039
1904,0.000000,0.000037
1905,0.000000,0.000045
1906,0.000000,0.000033
1907,0.000000,0.000052
1908,0.000000,0.000061
1909,0.000000,0.000061
1910,0.000000,0.000047
1911,0.000008,0.000053
1912,0.000007,0.000067
1913,0.000006,0.000073
1914,0.000004,0.000068
1915,0.000005,0.000084
1916,0.000006,0.000088
1917,0.000006,0.000094
1918,0.000007,0.000092
1919,0.000006,0.000080
1920,0.000004,0.000076
1921,0.000006,0.000075
1922,0.000004,0.000102
1923,0.000000,0.000087
1924,0.000007,0.000095
1925,0.000006,0.000079
1926,0.000006,0.000087
1927,0.000006,0.000083
1928,0.000004,0.000071
1929,0.000006,0.000073
1930,0.000000,0.000080
1931,0.000005,0.000063
1932,0.000000,0.000074
1933,0.000003,0.000063
1934,0.000000,0.000065
1935,0.000002,0.000065
1936,0.000000,0.000061
1937,0.000003,0.000056
1938,0.000003,0.000044
1939,0.000000,0.000045
1940,0.000003,0.000042
1941,0.000002,0.000043
1942,0.000002,0.000032
1943,0.000002,0.000036
1944,0.000002,0.000028
1945,0.000000,0.000033
1946,0.000000,0.000027
1947,0.000000,0.000022
1948,0.000001,0.000023
1949,0.000000,0.000024
1950,0.000000,0.000023
1951,0.000000,0.000023
1952,0.000000,0.000020
1953,0.000000,0.000016
1954,0.000000,0.000016
1955,0.000000,0.000017
1956,0.000000,0.000014
1957,0.000000,0.000015
1958,0.000000,0.000013
1959,0.000000,0.000012
1960,0.000000,0.000013
1961,0.000000,0.000015
1962,0.000000,0.000012
1963,0.000000,0.000016
1964,0.000000,0.000017
1965,0.000000,0.000015
1966,0.000000,0.000018
1967,0.000000,0.000015
1968,0.000000,0.000010
1969,0.000000,0.000011
1970,0.000000,0.000011
1971,0.000000,0.000009
1972,0.000000,0.000009
1973,0.000000,0.000007
1974,0.000000,0.000007
1975,0.000000,0.000006
1976,0.000000,0.000010
1977,0.000000,0.000007
1978,0.000000,0.000006
1979,0.000000,0.000007
1980,0.000000,0.000007
1981,0.000000,0.000008
1982,0.000000,0.000006
1983,0.000000,0.000006
1984,0.000000,0.000005
1985,0.000000,0.000005
1986,0.000000,0.000005
1987,0.000000,0.000004
1988,0.000000,0.000003
1989,0.000000,0.000004
1990,0.000000,0.000003
1991,0.000000,0.000004
1992,0.000000,0.000000
1993,0.000000,0.000003
1994,0.000000,0.000002
1995,0.000000,0.000000
1996,0.000000,0.000003
1997,0.000000,0.000003
1998,0.000000,0.000001
1999,0.000000,0.000003
2000,0.000000,0.000002
2001,0.000000,0.000003
2002,0.000000,0.000002
2003,0.000000,0.000002
2004,0.000000,0.000002
2005,0.000000,0.000000
2006,0.000000,0.000001
2007,0.000000,0.000001
2008,0.000000,0.000002
2009,0.000000,0.000001
2010,0.000000,0.000000
2011,0.000000,0.000002
2012,0.000000,0.000001
2013,0.000000,0.000002
2014,0.000000,0.000002
2015,0.000000,0.000002
2016,0.000000,0.000002
2017,0.000000,0.000002
2018,0.000000,0.000002
2019,0.000000,0.000002
2020,0.000000,0.000002
