year,Cyndy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,0
1946,15
1947,25
1948,18
1949,9
1950,9
1951,11
1952,19
1953,26
1954,27
1955,25
1956,47
1957,88
1958,91
1959,75
1960,70
1961,73
1962,63
1963,47
1964,32
1965,28
1966,32
1967,27
1968,17
1969,15
1970,15
1971,22
1972,13
1973,12
1974,10
1975,8
1976,9
1977,8
1978,10
1979,10
1980,12
1981,8
1982,11
1983,10
1984,15
1985,11
1986,8
1987,22
1988,16
1989,11
1990,21
1991,10
1992,19
1993,14
1994,14
1995,12
1996,15
1997,24
1998,20
1999,15
2000,17
2001,18
2002,11
2003,12
2004,7
2005,8
2006,0
2007,10
2008,8
2009,5
2010,0
2011,0
2012,0
