year,Clayborn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,5
1911,0
1912,11
1913,11
1914,9
1915,6
1916,7
1917,19
1918,7
1919,8
1920,15
1921,12
1922,11
1923,12
1924,8
1925,14
1926,10
1927,12
1928,8
1929,12
1930,12
1931,8
1932,10
1933,6
1934,11
1935,13
1936,9
1937,13
1938,10
1939,11
1940,7
1941,6
1942,13
1943,11
1944,10
1945,8
1946,9
1947,17
1948,9
1949,14
1950,7
1951,8
1952,14
1953,7
1954,13
1955,7
1956,10
1957,12
1958,7
1959,13
1960,8
1961,14
1962,11
1963,9
1964,10
1965,8
1966,11
1967,8
1968,0
1969,8
1970,5
1971,21
1972,5
1973,5
1974,6
1975,5
1976,5
1977,11
1978,5
1979,6
1980,5
1981,0
1982,0
1983,0
1984,5
1985,6
1986,0
1987,5
1988,0
1989,0
1990,6
1991,6
1992,0
1993,6
1994,7
1995,0
1996,0
1997,0
1998,0
1999,7
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
