year,Corda
1880,9
1881,5
1882,11
1883,13
1884,12
1885,12
1886,11
1887,11
1888,16
1889,14
1890,18
1891,11
1892,0
1893,16
1894,16
1895,10
1896,12
1897,9
1898,17
1899,6
1900,13
1901,18
1902,16
1903,9
1904,11
1905,6
1906,8
1907,7
1908,6
1909,8
1910,9
1911,7
1912,10
1913,0
1914,9
1915,13
1916,17
1917,7
1918,13
1919,8
1920,14
1921,10
1922,12
1923,9
1924,9
1925,10
1926,7
1927,0
1928,12
1929,7
1930,6
1931,5
1932,5
1933,5
1934,5
1935,0
1936,9
1937,5
1938,0
1939,0
1940,6
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,7
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,6
2008,6
2009,0
2010,0
2011,0
2012,0
