year,Carisa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,6
1959,0
1960,12
1961,10
1962,11
1963,15
1964,9
1965,10
1966,16
1967,18
1968,22
1969,38
1970,75
1971,82
1972,79
1973,93
1974,132
1975,161
1976,166
1977,199
1978,194
1979,186
1980,110
1981,85
1982,87
1983,73
1984,75
1985,53
1986,70
1987,49
1988,50
1989,60
1990,58
1991,52
1992,58
1993,50
1994,51
1995,33
1996,30
1997,27
1998,30
1999,28
2000,47
2001,27
2002,40
2003,21
2004,26
2005,32
2006,21
2007,19
2008,27
2009,18
2010,13
2011,9
2012,8
