year,Chrissy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,6
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,5
1955,0
1956,6
1957,11
1958,21
1959,23
1960,22
1961,32
1962,34
1963,50
1964,52
1965,57
1966,56
1967,58
1968,76
1969,67
1970,91
1971,88
1972,66
1973,44
1974,59
1975,71
1976,62
1977,119
1978,559
1979,454
1980,333
1981,212
1982,129
1983,117
1984,110
1985,80
1986,73
1987,62
1988,54
1989,54
1990,55
1991,55
1992,40
1993,38
1994,34
1995,28
1996,27
1997,31
1998,19
1999,31
2000,18
2001,27
2002,22
2003,21
2004,28
2005,21
2006,15
2007,23
2008,27
2009,21
2010,21
2011,19
2012,48
