year,Cary (F),Cary (M)
1880,0.000000,0.000084
1881,0.000000,0.000062
1882,0.000032,0.000059
1883,0.000000,0.000046
1884,0.000000,0.000037
1885,0.000000,0.000071
1886,0.000000,0.000051
1887,0.000000,0.000036
1888,0.000000,0.000053
1889,0.000017,0.000038
1890,0.000023,0.000030
1891,0.000000,0.000028
1892,0.000000,0.000033
1893,0.000018,0.000049
1894,0.000000,0.000053
1895,0.000017,0.000031
1896,0.000000,0.000059
1897,0.000017,0.000032
1898,0.000013,0.000026
1899,0.000000,0.000024
1900,0.000011,0.000027
1901,0.000000,0.000029
1902,0.000000,0.000031
1903,0.000031,0.000024
1904,0.000012,0.000030
1905,0.000019,0.000031
1906,0.000000,0.000037
1907,0.000013,0.000030
1908,0.000010,0.000027
1909,0.000010,0.000047
1910,0.000014,0.000039
1911,0.000000,0.000033
1912,0.000012,0.000020
1913,0.000010,0.000025
1914,0.000007,0.000023
1915,0.000007,0.000029
1916,0.000007,0.000022
1917,0.000007,0.000028
1918,0.000010,0.000023
1919,0.000010,0.000027
1920,0.000005,0.000027
1921,0.000005,0.000032
1922,0.000006,0.000026
1923,0.000007,0.000026
1924,0.000007,0.000025
1925,0.000008,0.000022
1926,0.000004,0.000018
1927,0.000008,0.000024
1928,0.000005,0.000019
1929,0.000006,0.000020
1930,0.000005,0.000024
1931,0.000004,0.000022
1932,0.000007,0.000020
1933,0.000007,0.000028
1934,0.000006,0.000028
1935,0.000007,0.000029
1936,0.000011,0.000039
1937,0.000004,0.000034
1938,0.000007,0.000045
1939,0.000009,0.000044
1940,0.000009,0.000058
1941,0.000005,0.000072
1942,0.000007,0.000076
1943,0.000010,0.000092
1944,0.000009,0.000092
1945,0.000008,0.000089
1946,0.000009,0.000095
1947,0.000009,0.000099
1948,0.000010,0.000126
1949,0.000013,0.000128
1950,0.000011,0.000126
1951,0.000011,0.000120
1952,0.000013,0.000122
1953,0.000019,0.000106
1954,0.000018,0.000128
1955,0.000020,0.000122
1956,0.000030,0.000134
1957,0.000027,0.000187
1958,0.000031,0.000142
1959,0.000031,0.000187
1960,0.000028,0.000183
1961,0.000029,0.000151
1962,0.000027,0.000195
1963,0.000030,0.000193
1964,0.000019,0.000193
1965,0.000022,0.000190
1966,0.000021,0.000220
1967,0.000033,0.000185
1968,0.000037,0.000196
1969,0.000037,0.000179
1970,0.000043,0.000158
1971,0.000054,0.000158
1972,0.000050,0.000131
1973,0.000051,0.000128
1974,0.000058,0.000101
1975,0.000068,0.000119
1976,0.000060,0.000107
1977,0.000052,0.000085
1978,0.000041,0.000073
1979,0.000030,0.000059
1980,0.000024,0.000057
1981,0.000028,0.000054
1982,0.000022,0.000050
1983,0.000024,0.000045
1984,0.000019,0.000051
1985,0.000018,0.000055
1986,0.000013,0.000051
1987,0.000011,0.000049
1988,0.000011,0.000044
1989,0.000012,0.000045
1990,0.000012,0.000040
1991,0.000009,0.000036
1992,0.000008,0.000033
1993,0.000007,0.000030
1994,0.000006,0.000028
1995,0.000006,0.000024
1996,0.000007,0.000018
1997,0.000006,0.000022
1998,0.000005,0.000022
1999,0.000004,0.000013
2000,0.000005,0.000014
2001,0.000003,0.000013
2002,0.000002,0.000009
2003,0.000000,0.000010
2004,0.000003,0.000009
2005,0.000004,0.000008
2006,0.000000,0.000007
2007,0.000002,0.000009
2008,0.000002,0.000009
2009,0.000002,0.000007
2010,0.000002,0.000006
2011,0.000002,0.000008
2012,0.000001,0.000007
2013,0.000002,0.000006
2014,0.000002,0.000006
2015,0.000000,0.000009
2016,0.000000,0.000010
2017,0.000001,0.000009
2018,0.000001,0.000006
2019,0.000000,0.000012
2020,0.000000,0.000008
