year,Charletta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,6
1922,0
1923,0
1924,0
1925,0
1926,0
1927,6
1928,0
1929,0
1930,0
1931,0
1932,5
1933,0
1934,6
1935,7
1936,9
1937,8
1938,7
1939,6
1940,9
1941,0
1942,8
1943,8
1944,6
1945,8
1946,14
1947,9
1948,13
1949,12
1950,16
1951,12
1952,16
1953,24
1954,21
1955,16
1956,25
1957,13
1958,16
1959,29
1960,12
1961,20
1962,17
1963,15
1964,18
1965,18
1966,20
1967,16
1968,36
1969,28
1970,32
1971,32
1972,23
1973,26
1974,33
1975,23
1976,24
1977,24
1978,22
1979,21
1980,21
1981,25
1982,15
1983,21
1984,18
1985,12
1986,19
1987,19
1988,30
1989,25
1990,20
1991,18
1992,13
1993,18
1994,8
1995,6
1996,9
1997,7
1998,0
1999,0
2000,7
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
