year,Camellia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,6
1922,0
1923,0
1924,0
1925,0
1926,7
1927,0
1928,5
1929,5
1930,7
1931,0
1932,0
1933,5
1934,8
1935,6
1936,5
1937,7
1938,13
1939,13
1940,17
1941,20
1942,21
1943,35
1944,30
1945,31
1946,29
1947,30
1948,44
1949,39
1950,34
1951,29
1952,36
1953,31
1954,34
1955,45
1956,35
1957,42
1958,37
1959,35
1960,21
1961,33
1962,29
1963,27
1964,30
1965,28
1966,32
1967,36
1968,30
1969,35
1970,28
1971,19
1972,21
1973,20
1974,26
1975,19
1976,28
1977,23
1978,27
1979,26
1980,28
1981,16
1982,32
1983,18
1984,29
1985,32
1986,21
1987,64
1988,30
1989,32
1990,23
1991,22
1992,28
1993,11
1994,22
1995,16
1996,12
1997,17
1998,23
1999,21
2000,22
2001,21
2002,17
2003,26
2004,14
2005,15
2006,12
2007,17
2008,19
2009,24
2010,28
2011,33
2012,53
