year,Zoila
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,0
1913,0
1914,0
1915,7
1916,6
1917,7
1918,12
1919,7
1920,7
1921,9
1922,10
1923,8
1924,8
1925,14
1926,7
1927,7
1928,13
1929,21
1930,11
1931,11
1932,13
1933,9
1934,9
1935,9
1936,8
1937,8
1938,14
1939,13
1940,6
1941,10
1942,10
1943,8
1944,0
1945,7
1946,10
1947,6
1948,12
1949,15
1950,14
1951,17
1952,8
1953,15
1954,8
1955,12
1956,12
1957,10
1958,19
1959,8
1960,13
1961,18
1962,12
1963,12
1964,9
1965,18
1966,18
1967,23
1968,18
1969,19
1970,24
1971,22
1972,26
1973,18
1974,23
1975,23
1976,23
1977,20
1978,24
1979,24
1980,29
1981,28
1982,19
1983,23
1984,28
1985,32
1986,18
1987,26
1988,35
1989,34
1990,30
1991,32
1992,27
1993,25
1994,32
1995,32
1996,27
1997,17
1998,26
1999,21
2000,17
2001,28
2002,14
2003,25
2004,22
2005,12
2006,21
2007,14
2008,20
2009,29
2010,26
2011,17
2012,20
