year,Zeb (F),Zeb (M)
1880,0.000000,0.000050
1881,0.000000,0.000052
1882,0.000000,0.000045
1883,0.000000,0.000060
1884,0.000000,0.000045
1885,0.000000,0.000021
1886,0.000000,0.000031
1887,0.000000,0.000032
1888,0.000000,0.000053
1889,0.000000,0.000028
1890,0.000000,0.000027
1891,0.000000,0.000028
1892,0.000000,0.000021
1893,0.000000,0.000018
1894,0.000000,0.000018
1895,0.000000,0.000031
1896,0.000000,0.000036
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000024
1900,0.000000,0.000018
1901,0.000000,0.000014
1902,0.000000,0.000021
1903,0.000000,0.000031
1904,0.000000,0.000027
1905,0.000000,0.000019
1906,0.000000,0.000014
1907,0.000000,0.000011
1908,0.000000,0.000012
1909,0.000000,0.000023
1910,0.000000,0.000012
1911,0.000000,0.000016
1912,0.000000,0.000017
1913,0.000000,0.000016
1914,0.000000,0.000022
1915,0.000000,0.000014
1916,0.000000,0.000012
1917,0.000000,0.000011
1918,0.000000,0.000019
1919,0.000000,0.000014
1920,0.000000,0.000012
1921,0.000000,0.000016
1922,0.000000,0.000021
1923,0.000000,0.000013
1924,0.000000,0.000017
1925,0.000000,0.000015
1926,0.000000,0.000012
1927,0.000000,0.000011
1928,0.000000,0.000011
1929,0.000000,0.000013
1930,0.000000,0.000013
1931,0.000000,0.000011
1932,0.000000,0.000011
1933,0.000000,0.000015
1934,0.000000,0.000007
1935,0.000000,0.000010
1936,0.000000,0.000006
1937,0.000000,0.000008
1938,0.000000,0.000007
1939,0.000000,0.000005
1940,0.000000,0.000007
1941,0.000000,0.000005
1942,0.000000,0.000007
1943,0.000000,0.000005
1944,0.000000,0.000006
1945,0.000000,0.000006
1946,0.000000,0.000005
1947,0.000000,0.000004
1948,0.000000,0.000003
1949,0.000000,0.000005
1950,0.000000,0.000004
1951,0.000000,0.000004
1952,0.000000,0.000003
1953,0.000000,0.000003
1954,0.000000,0.000003
1955,0.000000,0.000004
1956,0.000000,0.000003
1957,0.000000,0.000005
1958,0.000000,0.000004
1959,0.000000,0.000003
1960,0.000000,0.000004
1961,0.000000,0.000002
1962,0.000000,0.000002
1963,0.000000,0.000002
1964,0.000000,0.000003
1965,0.000000,0.000003
1966,0.000000,0.000002
1967,0.000000,0.000003
1968,0.000000,0.000002
1969,0.000000,0.000002
1970,0.000000,0.000002
1971,0.000000,0.000003
1972,0.000000,0.000003
1973,0.000000,0.000005
1974,0.000000,0.000006
1975,0.000000,0.000004
1976,0.000000,0.000007
1977,0.000000,0.000008
1978,0.000000,0.000019
1979,0.000000,0.000020
1980,0.000000,0.000012
1981,0.000000,0.000010
1982,0.000000,0.000006
1983,0.000000,0.000010
1984,0.000000,0.000010
1985,0.000000,0.000004
1986,0.000000,0.000006
1987,0.000000,0.000005
1988,0.000000,0.000007
1989,0.000000,0.000004
1990,0.000000,0.000006
1991,0.000000,0.000009
1992,0.000000,0.000004
1993,0.000000,0.000006
1994,0.000000,0.000007
1995,0.000000,0.000008
1996,0.000000,0.000005
1997,0.000000,0.000006
1998,0.000000,0.000005
1999,0.000000,0.000007
2000,0.000000,0.000007
2001,0.000000,0.000009
2002,0.000000,0.000008
2003,0.000000,0.000009
2004,0.000000,0.000007
2005,0.000000,0.000009
2006,0.000000,0.000008
2007,0.000000,0.000006
2008,0.000000,0.000009
2009,0.000000,0.000007
2010,0.000000,0.000005
2011,0.000000,0.000009
2012,0.000000,0.000009
2013,0.000000,0.000007
