year,Zahra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,8
1974,15
1975,11
1976,12
1977,16
1978,24
1979,24
1980,14
1981,20
1982,24
1983,40
1984,27
1985,42
1986,40
1987,48
1988,38
1989,49
1990,47
1991,42
1992,56
1993,46
1994,48
1995,82
1996,85
1997,101
1998,92
1999,89
2000,113
2001,108
2002,118
2003,139
2004,122
2005,172
2006,152
2007,208
2008,187
2009,220
2010,222
2011,245
2012,267
