year,Zilpha
1880,6
1881,6
1882,0
1883,0
1884,6
1885,8
1886,9
1887,5
1888,17
1889,5
1890,7
1891,7
1892,10
1893,9
1894,8
1895,13
1896,6
1897,8
1898,8
1899,13
1900,11
1901,5
1902,8
1903,10
1904,7
1905,6
1906,13
1907,8
1908,8
1909,8
1910,12
1911,11
1912,13
1913,21
1914,16
1915,16
1916,18
1917,19
1918,24
1919,7
1920,19
1921,14
1922,14
1923,11
1924,16
1925,0
1926,9
1927,15
1928,15
1929,0
1930,11
1931,5
1932,0
1933,5
1934,0
1935,0
1936,13
1937,0
1938,8
1939,0
1940,6
1941,11
1942,0
1943,6
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
