year,Zena
1880,7
1881,6
1882,6
1883,13
1884,11
1885,0
1886,8
1887,6
1888,8
1889,12
1890,8
1891,16
1892,16
1893,13
1894,14
1895,13
1896,9
1897,16
1898,18
1899,10
1900,21
1901,12
1902,11
1903,8
1904,15
1905,21
1906,19
1907,14
1908,13
1909,21
1910,21
1911,26
1912,27
1913,31
1914,35
1915,40
1916,46
1917,37
1918,53
1919,31
1920,45
1921,62
1922,43
1923,48
1924,40
1925,47
1926,41
1927,36
1928,27
1929,43
1930,27
1931,26
1932,31
1933,35
1934,24
1935,21
1936,20
1937,16
1938,16
1939,13
1940,19
1941,21
1942,35
1943,15
1944,23
1945,14
1946,12
1947,21
1948,29
1949,18
1950,21
1951,33
1952,21
1953,22
1954,23
1955,27
1956,30
1957,41
1958,26
1959,39
1960,52
1961,63
1962,70
1963,213
1964,222
1965,142
1966,104
1967,68
1968,62
1969,44
1970,51
1971,45
1972,39
1973,39
1974,32
1975,25
1976,35
1977,24
1978,28
1979,24
1980,51
1981,54
1982,58
1983,47
1984,38
1985,62
1986,44
1987,51
1988,33
1989,71
1990,63
1991,49
1992,52
1993,44
1994,71
1995,59
1996,127
1997,104
1998,88
1999,78
2000,44
2001,46
2002,45
2003,40
2004,40
2005,47
2006,32
2007,44
2008,39
2009,33
2010,41
2011,40
2012,48
