year,Zillah
1880,0
1881,7
1882,0
1883,5
1884,0
1885,0
1886,9
1887,6
1888,6
1889,10
1890,8
1891,5
1892,8
1893,10
1894,7
1895,8
1896,0
1897,6
1898,0
1899,0
1900,6
1901,6
1902,0
1903,5
1904,0
1905,0
1906,0
1907,7
1908,0
1909,5
1910,5
1911,0
1912,7
1913,5
1914,10
1915,6
1916,9
1917,12
1918,13
1919,8
1920,11
1921,11
1922,13
1923,9
1924,0
1925,8
1926,7
1927,5
1928,10
1929,6
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,6
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,5
1998,5
1999,0
2000,0
2001,9
2002,5
2003,0
2004,5
2005,8
2006,0
2007,11
2008,12
2009,9
2010,13
2011,9
2012,9
