year,Zella
1880,31
1881,38
1882,50
1883,55
1884,63
1885,56
1886,72
1887,67
1888,111
1889,96
1890,108
1891,115
1892,102
1893,109
1894,138
1895,137
1896,130
1897,128
1898,115
1899,102
1900,171
1901,122
1902,124
1903,132
1904,126
1905,110
1906,108
1907,123
1908,125
1909,131
1910,151
1911,144
1912,186
1913,199
1914,224
1915,265
1916,248
1917,298
1918,244
1919,255
1920,244
1921,280
1922,235
1923,267
1924,235
1925,228
1926,217
1927,190
1928,213
1929,178
1930,184
1931,159
1932,159
1933,151
1934,137
1935,131
1936,112
1937,110
1938,119
1939,113
1940,114
1941,78
1942,86
1943,113
1944,81
1945,98
1946,80
1947,99
1948,91
1949,85
1950,88
1951,75
1952,68
1953,59
1954,48
1955,50
1956,54
1957,39
1958,44
1959,45
1960,37
1961,56
1962,41
1963,41
1964,27
1965,35
1966,18
1967,20
1968,23
1969,18
1970,14
1971,11
1972,20
1973,11
1974,14
1975,15
1976,0
1977,0
1978,0
1979,5
1980,6
1981,11
1982,9
1983,0
1984,7
1985,5
1986,5
1987,0
1988,6
1989,0
1990,0
1991,5
1992,9
1993,0
1994,8
1995,7
1996,5
1997,6
1998,7
1999,8
2000,16
2001,16
2002,15
2003,17
2004,34
2005,35
2006,40
2007,48
2008,53
2009,60
2010,71
2011,90
2012,92
