year,Zenobia
1880,0
1881,6
1882,7
1883,5
1884,0
1885,6
1886,10
1887,0
1888,0
1889,9
1890,9
1891,0
1892,13
1893,10
1894,9
1895,9
1896,11
1897,6
1898,15
1899,11
1900,11
1901,8
1902,17
1903,7
1904,11
1905,15
1906,20
1907,10
1908,25
1909,35
1910,19
1911,25
1912,37
1913,33
1914,39
1915,47
1916,45
1917,50
1918,48
1919,58
1920,43
1921,54
1922,56
1923,62
1924,53
1925,59
1926,40
1927,41
1928,36
1929,53
1930,49
1931,26
1932,32
1933,31
1934,26
1935,30
1936,32
1937,33
1938,36
1939,47
1940,35
1941,26
1942,46
1943,31
1944,33
1945,21
1946,33
1947,40
1948,36
1949,50
1950,54
1951,40
1952,40
1953,35
1954,36
1955,47
1956,42
1957,49
1958,39
1959,44
1960,37
1961,40
1962,26
1963,29
1964,40
1965,41
1966,42
1967,44
1968,31
1969,41
1970,41
1971,40
1972,35
1973,36
1974,29
1975,47
1976,41
1977,31
1978,29
1979,38
1980,30
1981,51
1982,34
1983,24
1984,32
1985,32
1986,36
1987,31
1988,32
1989,33
1990,47
1991,35
1992,30
1993,34
1994,34
1995,33
1996,32
1997,33
1998,28
1999,29
2000,25
2001,30
2002,29
2003,21
2004,38
2005,25
2006,33
2007,27
2008,31
2009,18
2010,19
2011,22
2012,51
