year,Zoraida
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,6
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,8
1937,0
1938,6
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,8
1950,13
1951,14
1952,16
1953,21
1954,23
1955,28
1956,37
1957,29
1958,32
1959,38
1960,52
1961,62
1962,57
1963,55
1964,54
1965,52
1966,61
1967,61
1968,43
1969,55
1970,49
1971,34
1972,43
1973,50
1974,51
1975,40
1976,33
1977,26
1978,46
1979,33
1980,40
1981,42
1982,36
1983,33
1984,37
1985,26
1986,30
1987,31
1988,25
1989,34
1990,27
1991,31
1992,31
1993,28
1994,26
1995,19
1996,21
1997,13
1998,17
1999,12
2000,23
2001,14
2002,12
2003,6
2004,11
2005,11
2006,16
2007,11
2008,15
2009,12
2010,21
2011,12
2012,9
