year,Zela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,8
1890,0
1891,0
1892,7
1893,5
1894,8
1895,0
1896,7
1897,12
1898,5
1899,0
1900,5
1901,6
1902,8
1903,6
1904,0
1905,0
1906,10
1907,10
1908,5
1909,10
1910,8
1911,12
1912,8
1913,13
1914,18
1915,18
1916,21
1917,14
1918,17
1919,13
1920,13
1921,16
1922,17
1923,16
1924,20
1925,10
1926,11
1927,9
1928,15
1929,8
1930,8
1931,7
1932,5
1933,7
1934,12
1935,6
1936,7
1937,0
1938,0
1939,5
1940,8
1941,0
1942,9
1943,0
1944,7
1945,0
1946,6
1947,7
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,5
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,7
2009,0
2010,0
2011,0
2012,6
