year,Zetta
1880,8
1881,7
1882,7
1883,15
1884,10
1885,13
1886,17
1887,15
1888,17
1889,19
1890,19
1891,11
1892,18
1893,25
1894,16
1895,27
1896,18
1897,25
1898,21
1899,15
1900,17
1901,19
1902,15
1903,24
1904,14
1905,20
1906,16
1907,9
1908,17
1909,14
1910,23
1911,14
1912,18
1913,27
1914,38
1915,35
1916,43
1917,39
1918,32
1919,32
1920,40
1921,46
1922,43
1923,47
1924,34
1925,53
1926,34
1927,39
1928,27
1929,31
1930,30
1931,25
1932,30
1933,26
1934,28
1935,17
1936,21
1937,29
1938,23
1939,25
1940,20
1941,11
1942,24
1943,27
1944,19
1945,9
1946,18
1947,10
1948,19
1949,15
1950,11
1951,13
1952,16
1953,14
1954,10
1955,14
1956,29
1957,18
1958,17
1959,12
1960,11
1961,11
1962,9
1963,11
1964,8
1965,7
1966,10
1967,6
1968,6
1969,0
1970,0
1971,6
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,6
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,5
2002,0
2003,0
2004,5
2005,9
2006,11
2007,7
2008,9
2009,11
2010,13
2011,18
2012,11
