year,Zettie
1880,0
1881,0
1882,0
1883,0
1884,9
1885,5
1886,12
1887,8
1888,13
1889,9
1890,7
1891,11
1892,11
1893,20
1894,9
1895,22
1896,9
1897,13
1898,12
1899,16
1900,19
1901,14
1902,18
1903,21
1904,13
1905,19
1906,17
1907,16
1908,21
1909,11
1910,11
1911,20
1912,28
1913,22
1914,25
1915,33
1916,38
1917,28
1918,28
1919,39
1920,37
1921,37
1922,26
1923,27
1924,49
1925,28
1926,25
1927,23
1928,17
1929,27
1930,36
1931,21
1932,24
1933,28
1934,19
1935,32
1936,14
1937,25
1938,16
1939,10
1940,18
1941,17
1942,17
1943,14
1944,23
1945,12
1946,12
1947,16
1948,11
1949,22
1950,12
1951,17
1952,10
1953,16
1954,12
1955,14
1956,12
1957,0
1958,12
1959,6
1960,11
1961,7
1962,9
1963,0
1964,9
1965,5
1966,6
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
