year,Zandra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,5
1932,9
1933,0
1934,5
1935,11
1936,6
1937,16
1938,10
1939,12
1940,10
1941,14
1942,11
1943,30
1944,20
1945,19
1946,36
1947,41
1948,47
1949,46
1950,67
1951,88
1952,77
1953,94
1954,72
1955,65
1956,53
1957,47
1958,34
1959,34
1960,42
1961,57
1962,47
1963,48
1964,50
1965,49
1966,46
1967,61
1968,66
1969,100
1970,131
1971,129
1972,106
1973,94
1974,74
1975,94
1976,65
1977,67
1978,82
1979,44
1980,43
1981,58
1982,49
1983,53
1984,31
1985,36
1986,52
1987,42
1988,40
1989,38
1990,43
1991,41
1992,37
1993,35
1994,25
1995,29
1996,26
1997,37
1998,20
1999,25
2000,27
2001,20
2002,25
2003,20
2004,32
2005,15
2006,24
2007,24
2008,21
2009,21
2010,15
2011,15
2012,16
