year,Zula
1880,27
1881,27
1882,21
1883,25
1884,27
1885,38
1886,43
1887,33
1888,45
1889,55
1890,65
1891,45
1892,53
1893,70
1894,64
1895,55
1896,65
1897,79
1898,83
1899,60
1900,71
1901,57
1902,66
1903,74
1904,74
1905,61
1906,58
1907,72
1908,53
1909,76
1910,70
1911,59
1912,69
1913,80
1914,88
1915,102
1916,105
1917,107
1918,96
1919,116
1920,105
1921,91
1922,127
1923,102
1924,94
1925,97
1926,84
1927,66
1928,64
1929,42
1930,71
1931,59
1932,50
1933,58
1934,43
1935,51
1936,34
1937,45
1938,32
1939,44
1940,30
1941,34
1942,29
1943,25
1944,28
1945,33
1946,15
1947,21
1948,25
1949,18
1950,17
1951,12
1952,18
1953,12
1954,13
1955,8
1956,9
1957,6
1958,11
1959,7
1960,7
1961,7
1962,0
1963,0
1964,6
1965,5
1966,0
1967,5
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,5
2010,0
2011,5
2012,0
