year,Zeke (F),Zeke (M)
1880,0.000000,0.000030
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000028
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000020
1889,0.000000,0.000017
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000020
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000021
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000016
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000014
1906,0.000000,0.000000
1907,0.000000,0.000011
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000014
1911,0.000000,0.000014
1912,0.000000,0.000006
1913,0.000000,0.000007
1914,0.000000,0.000009
1915,0.000000,0.000006
1916,0.000000,0.000004
1917,0.000000,0.000002
1918,0.000000,0.000003
1919,0.000000,0.000004
1920,0.000000,0.000002
1921,0.000000,0.000003
1922,0.000000,0.000005
1923,0.000000,0.000002
1924,0.000000,0.000004
1925,0.000000,0.000003
1926,0.000000,0.000003
1927,0.000000,0.000003
1928,0.000000,0.000004
1929,0.000000,0.000003
1930,0.000000,0.000003
1931,0.000000,0.000000
1932,0.000000,0.000005
1933,0.000000,0.000003
1934,0.000000,0.000003
1935,0.000000,0.000005
1936,0.000000,0.000003
1937,0.000000,0.000005
1938,0.000000,0.000003
1939,0.000000,0.000006
1940,0.000000,0.000003
1941,0.000000,0.000002
1942,0.000000,0.000003
1943,0.000000,0.000004
1944,0.000000,0.000007
1945,0.000000,0.000004
1946,0.000000,0.000002
1947,0.000000,0.000004
1948,0.000000,0.000002
1949,0.000000,0.000003
1950,0.000000,0.000001
1951,0.000000,0.000002
1952,0.000000,0.000001
1953,0.000000,0.000003
1954,0.000000,0.000003
1955,0.000000,0.000000
1956,0.000000,0.000002
1957,0.000000,0.000002
1958,0.000000,0.000003
1959,0.000000,0.000002
1960,0.000000,0.000002
1961,0.000000,0.000003
1962,0.000000,0.000000
1963,0.000000,0.000003
1964,0.000000,0.000004
1965,0.000000,0.000003
1966,0.000000,0.000003
1967,0.000000,0.000003
1968,0.000000,0.000004
1969,0.000000,0.000003
1970,0.000000,0.000006
1971,0.000000,0.000008
1972,0.000000,0.000008
1973,0.000000,0.000007
1974,0.000000,0.000010
1975,0.000000,0.000013
1976,0.000000,0.000010
1977,0.000000,0.000012
1978,0.000000,0.000013
1979,0.000000,0.000011
1980,0.000000,0.000010
1981,0.000000,0.000010
1982,0.000000,0.000007
1983,0.000000,0.000008
1984,0.000000,0.000007
1985,0.000000,0.000005
1986,0.000000,0.000008
1987,0.000000,0.000006
1988,0.000000,0.000012
1989,0.000000,0.000016
1990,0.000000,0.000013
1991,0.000000,0.000013
1992,0.000000,0.000010
1993,0.000000,0.000010
1994,0.000000,0.000015
1995,0.000000,0.000010
1996,0.000000,0.000016
1997,0.000000,0.000012
1998,0.000000,0.000013
1999,0.000000,0.000015
2000,0.000000,0.000023
2001,0.000000,0.000025
2002,0.000000,0.000029
2003,0.000000,0.000027
2004,0.000000,0.000025
2005,0.000000,0.000032
2006,0.000000,0.000026
2007,0.000000,0.000028
2008,0.000000,0.000032
2009,0.000000,0.000041
2010,0.000000,0.000050
2011,0.000000,0.000056
2012,0.000000,0.000067
2013,0.000000,0.000069
2014,0.000000,0.000088
2015,0.000000,0.000097
2016,0.000000,0.000108
2017,0.000000,0.000119
2018,0.000000,0.000115
2019,0.000000,0.000117
2020,0.000000,0.000114
