year,Zadie
1880,0
1881,11
1882,7
1883,7
1884,9
1885,7
1886,6
1887,7
1888,7
1889,13
1890,12
1891,7
1892,6
1893,14
1894,11
1895,10
1896,11
1897,10
1898,10
1899,10
1900,20
1901,16
1902,13
1903,9
1904,19
1905,14
1906,21
1907,8
1908,18
1909,26
1910,26
1911,16
1912,18
1913,20
1914,23
1915,35
1916,25
1917,22
1918,25
1919,26
1920,29
1921,29
1922,41
1923,28
1924,24
1925,21
1926,29
1927,25
1928,25
1929,20
1930,15
1931,15
1932,18
1933,12
1934,11
1935,23
1936,13
1937,21
1938,14
1939,11
1940,23
1941,10
1942,15
1943,18
1944,6
1945,15
1946,14
1947,9
1948,16
1949,19
1950,11
1951,8
1952,11
1953,6
1954,5
1955,7
1956,0
1957,7
1958,7
1959,0
1960,0
1961,5
1962,0
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,7
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,5
1990,0
1991,0
1992,6
1993,0
1994,6
1995,9
1996,9
1997,8
1998,9
1999,9
2000,14
2001,12
2002,26
2003,29
2004,29
2005,31
2006,51
2007,49
2008,65
2009,88
2010,80
2011,86
2012,76
