year,Zana
1880,0
1881,0
1882,5
1883,0
1884,6
1885,0
1886,0
1887,0
1888,9
1889,0
1890,5
1891,0
1892,8
1893,0
1894,6
1895,0
1896,5
1897,0
1898,6
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,6
1906,0
1907,6
1908,8
1909,0
1910,0
1911,5
1912,10
1913,7
1914,6
1915,9
1916,11
1917,10
1918,22
1919,14
1920,14
1921,22
1922,7
1923,17
1924,13
1925,16
1926,18
1927,16
1928,16
1929,6
1930,7
1931,13
1932,16
1933,11
1934,13
1935,8
1936,16
1937,15
1938,15
1939,8
1940,18
1941,10
1942,8
1943,13
1944,13
1945,14
1946,17
1947,17
1948,11
1949,17
1950,20
1951,22
1952,20
1953,14
1954,29
1955,20
1956,11
1957,21
1958,13
1959,17
1960,20
1961,10
1962,9
1963,18
1964,23
1965,18
1966,9
1967,13
1968,12
1969,10
1970,5
1971,16
1972,8
1973,8
1974,12
1975,8
1976,11
1977,10
1978,8
1979,11
1980,9
1981,7
1982,11
1983,9
1984,8
1985,11
1986,14
1987,9
1988,20
1989,14
1990,10
1991,14
1992,12
1993,37
1994,251
1995,76
1996,51
1997,45
1998,28
1999,31
2000,26
2001,26
2002,28
2003,23
2004,33
2005,34
2006,24
2007,28
2008,23
2009,27
2010,22
2011,17
2012,25
