year,Zack (F),Zack (M)
1880,0.000000,0.000094
1881,0.000000,0.000130
1882,0.000000,0.000131
1883,0.000000,0.000129
1884,0.000000,0.000119
1885,0.000000,0.000083
1886,0.000000,0.000059
1887,0.000000,0.000057
1888,0.000000,0.000080
1889,0.000000,0.000066
1890,0.000000,0.000086
1891,0.000000,0.000059
1892,0.000000,0.000045
1893,0.000000,0.000065
1894,0.000000,0.000071
1895,0.000000,0.000060
1896,0.000000,0.000039
1897,0.000000,0.000032
1898,0.000000,0.000047
1899,0.000000,0.000047
1900,0.000000,0.000064
1901,0.000000,0.000020
1902,0.000000,0.000028
1903,0.000000,0.000031
1904,0.000000,0.000025
1905,0.000000,0.000031
1906,0.000000,0.000023
1907,0.000000,0.000028
1908,0.000000,0.000025
1909,0.000000,0.000029
1910,0.000000,0.000022
1911,0.000000,0.000026
1912,0.000000,0.000028
1913,0.000000,0.000032
1914,0.000000,0.000027
1915,0.000000,0.000023
1916,0.000000,0.000019
1917,0.000000,0.000021
1918,0.000000,0.000023
1919,0.000000,0.000031
1920,0.000000,0.000023
1921,0.000000,0.000026
1922,0.000000,0.000027
1923,0.000000,0.000017
1924,0.000000,0.000022
1925,0.000000,0.000016
1926,0.000000,0.000021
1927,0.000000,0.000026
1928,0.000000,0.000019
1929,0.000000,0.000021
1930,0.000000,0.000019
1931,0.000000,0.000019
1932,0.000000,0.000017
1933,0.000000,0.000014
1934,0.000000,0.000020
1935,0.000000,0.000018
1936,0.000000,0.000018
1937,0.000000,0.000015
1938,0.000000,0.000014
1939,0.000000,0.000015
1940,0.000000,0.000008
1941,0.000000,0.000012
1942,0.000000,0.000010
1943,0.000000,0.000011
1944,0.000000,0.000012
1945,0.000000,0.000006
1946,0.000000,0.000014
1947,0.000000,0.000007
1948,0.000000,0.000010
1949,0.000000,0.000008
1950,0.000000,0.000010
1951,0.000000,0.000010
1952,0.000000,0.000010
1953,0.000000,0.000010
1954,0.000000,0.000009
1955,0.000000,0.000010
1956,0.000000,0.000007
1957,0.000000,0.000008
1958,0.000000,0.000009
1959,0.000000,0.000009
1960,0.000000,0.000007
1961,0.000000,0.000009
1962,0.000000,0.000011
1963,0.000000,0.000008
1964,0.000000,0.000008
1965,0.000000,0.000005
1966,0.000000,0.000007
1967,0.000000,0.000008
1968,0.000000,0.000007
1969,0.000000,0.000007
1970,0.000000,0.000008
1971,0.000000,0.000008
1972,0.000000,0.000011
1973,0.000000,0.000014
1974,0.000000,0.000014
1975,0.000000,0.000013
1976,0.000000,0.000012
1977,0.000000,0.000013
1978,0.000000,0.000013
1979,0.000000,0.000013
1980,0.000000,0.000014
1981,0.000000,0.000012
1982,0.000000,0.000013
1983,0.000000,0.000015
1984,0.000000,0.000018
1985,0.000000,0.000016
1986,0.000000,0.000015
1987,0.000000,0.000016
1988,0.000000,0.000024
1989,0.000000,0.000023
1990,0.000000,0.000018
1991,0.000000,0.000018
1992,0.000000,0.000024
1993,0.000000,0.000026
1994,0.000000,0.000027
1995,0.000000,0.000026
1996,0.000000,0.000026
1997,0.000000,0.000027
1998,0.000000,0.000025
1999,0.000000,0.000037
2000,0.000000,0.000038
2001,0.000000,0.000036
2002,0.000000,0.000043
2003,0.000000,0.000048
2004,0.000000,0.000048
2005,0.000000,0.000049
2006,0.000000,0.000050
2007,0.000000,0.000055
2008,0.000000,0.000060
2009,0.000000,0.000058
2010,0.000000,0.000056
2011,0.000000,0.000050
2012,0.000000,0.000047
2013,0.000000,0.000049
2014,0.000000,0.000037
2015,0.000000,0.000041
2016,0.000000,0.000051
2017,0.000000,0.000042
2018,0.000000,0.000046
2019,0.000000,0.000038
2020,0.000000,0.000042
