year,Zeta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,5
1894,7
1895,9
1896,6
1897,12
1898,9
1899,8
1900,11
1901,8
1902,7
1903,8
1904,8
1905,6
1906,14
1907,10
1908,7
1909,8
1910,11
1911,6
1912,11
1913,11
1914,17
1915,7
1916,18
1917,22
1918,21
1919,17
1920,25
1921,19
1922,23
1923,20
1924,16
1925,23
1926,18
1927,15
1928,13
1929,17
1930,18
1931,8
1932,11
1933,21
1934,13
1935,15
1936,10
1937,7
1938,14
1939,20
1940,11
1941,10
1942,8
1943,0
1944,7
1945,10
1946,9
1947,15
1948,7
1949,0
1950,0
1951,9
1952,6
1953,7
1954,10
1955,7
1956,10
1957,9
1958,5
1959,6
1960,11
1961,7
1962,8
1963,10
1964,10
1965,6
1966,5
1967,7
1968,5
1969,5
1970,0
1971,0
1972,6
1973,0
1974,8
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,12
2000,15
2001,29
2002,19
2003,24
2004,30
2005,33
2006,28
2007,23
2008,17
2009,16
2010,18
2011,24
2012,20
