year,Zona
1880,8
1881,9
1882,17
1883,11
1884,8
1885,14
1886,20
1887,28
1888,30
1889,29
1890,27
1891,14
1892,25
1893,15
1894,23
1895,38
1896,38
1897,28
1898,28
1899,31
1900,44
1901,31
1902,23
1903,41
1904,35
1905,24
1906,37
1907,39
1908,31
1909,39
1910,48
1911,51
1912,54
1913,64
1914,73
1915,92
1916,107
1917,95
1918,77
1919,83
1920,87
1921,88
1922,88
1923,74
1924,104
1925,78
1926,93
1927,70
1928,79
1929,80
1930,61
1931,79
1932,77
1933,74
1934,79
1935,71
1936,54
1937,84
1938,75
1939,95
1940,72
1941,57
1942,59
1943,63
1944,51
1945,34
1946,63
1947,44
1948,44
1949,43
1950,41
1951,37
1952,40
1953,48
1954,60
1955,43
1956,39
1957,36
1958,25
1959,26
1960,31
1961,19
1962,27
1963,18
1964,29
1965,16
1966,10
1967,19
1968,11
1969,9
1970,10
1971,7
1972,8
1973,9
1974,12
1975,6
1976,9
1977,0
1978,8
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,7
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,6
1994,0
1995,0
1996,0
1997,5
1998,5
1999,9
2000,5
2001,5
2002,5
2003,8
2004,0
2005,9
2006,10
2007,6
2008,0
2009,5
2010,13
2011,7
2012,9
