year,Zeola
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,9
1900,0
1901,0
1902,0
1903,6
1904,0
1905,0
1906,5
1907,10
1908,7
1909,12
1910,6
1911,6
1912,11
1913,24
1914,10
1915,22
1916,20
1917,18
1918,16
1919,14
1920,21
1921,13
1922,16
1923,15
1924,21
1925,11
1926,12
1927,17
1928,12
1929,17
1930,16
1931,15
1932,7
1933,7
1934,12
1935,6
1936,10
1937,6
1938,12
1939,9
1940,10
1941,6
1942,8
1943,9
1944,10
1945,0
1946,7
1947,6
1948,7
1949,5
1950,0
1951,6
1952,0
1953,0
1954,0
1955,5
1956,7
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,0
1965,6
1966,7
1967,6
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
