year,Zulema
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,9
1917,6
1918,14
1919,9
1920,13
1921,11
1922,14
1923,8
1924,14
1925,17
1926,9
1927,21
1928,17
1929,21
1930,20
1931,25
1932,5
1933,16
1934,11
1935,11
1936,14
1937,8
1938,17
1939,19
1940,18
1941,21
1942,18
1943,22
1944,11
1945,13
1946,13
1947,22
1948,24
1949,21
1950,18
1951,19
1952,19
1953,16
1954,15
1955,20
1956,22
1957,22
1958,20
1959,23
1960,27
1961,21
1962,23
1963,19
1964,23
1965,15
1966,28
1967,18
1968,29
1969,27
1970,34
1971,29
1972,41
1973,51
1974,56
1975,55
1976,34
1977,42
1978,42
1979,54
1980,40
1981,48
1982,44
1983,44
1984,39
1985,39
1986,36
1987,41
1988,40
1989,41
1990,83
1991,74
1992,68
1993,80
1994,77
1995,95
1996,106
1997,96
1998,60
1999,64
2000,71
2001,50
2002,54
2003,65
2004,61
2005,58
2006,60
2007,75
2008,46
2009,52
2010,45
2011,39
2012,40
